Region,Month,For-Sale Property Type,Average Monthly Rent,Average Rent YoY,"Monthly mortgage, 5% down","Monthly mortgage, 5% down YoY","Monthly mortgage, 20% down","Monthly mortgage, 20% down YoY",Median sale price,Median sale price YoY
FL,April 2022,Townhouse,"3,117",30.60%,"1,870",45.20%,"1,575",45.20%,"367,500",15.20%
WA,April 2022,All Residential,"2,933",30.60%,"4,325",49.70%,"3,642",49.70%,"850,000",18.70%
WA,April 2022,Condo/Co-op,"2,933",30.60%,"2,426",41.40%,"2,043",41.40%,"476,750",12.20%
WA,April 2022,Multi-Family (2-4 Unit),"2,933",30.60%,"4,452",31.50%,"3,749",31.50%,"875,000",4.30%
WA,April 2022,Single Family Residential,"2,933",30.60%,"4,834",49.70%,"4,071",49.70%,"950,000",18.80%
WA,April 2022,Townhouse,"2,933",30.60%,"4,070",51.00%,"3,428",51.00%,"799,975",19.80%
FL,April 2022,All Residential,"3,117",30.60%,"2,290",62.10%,"1,928",62.10%,"450,000",28.60%
FL,April 2022,Condo/Co-op,"3,117",30.60%,"1,297",56.80%,"1,093",56.80%,"255,000",24.40%
FL,April 2022,Multi-Family (2-4 Unit),"3,117",30.60%,"2,633",74.00%,"2,217",74.00%,"517,500",38.00%
FL,April 2022,Single Family Residential,"3,117",30.60%,"3,256",65.00%,"2,742",65.00%,"640,000",30.90%
FL,April 2022,Townhouse,"3,117",30.60%,"1,857",64.60%,"1,564",64.60%,"365,000",30.60%
OR,April 2022,All Residential,"2,491",33.10%,"2,829",43.00%,"2,382",43.00%,"556,000",13.50%
OR,April 2022,Condo/Co-op,"2,491",33.10%,"1,783",42.40%,"1,502",42.40%,"350,500",13.00%
OR,April 2022,Multi-Family (2-4 Unit),"2,491",33.10%,"3,354",58.60%,"2,824",58.60%,"659,125",25.80%
OR,April 2022,Single Family Residential,"2,491",33.10%,"3,001",42.70%,"2,527",42.70%,"589,875",13.20%
OR,April 2022,Townhouse,"2,491",33.10%,"2,253",47.80%,"1,897",47.80%,"442,733",17.20%
TX,April 2022,All Residential,"2,531",45.90%,"2,824",50.30%,"2,378",50.30%,"555,000",19.30%
TX,April 2022,Condo/Co-op,"2,531",45.90%,"2,417",49.70%,"2,035",49.70%,"475,000",18.80%
TX,April 2022,Multi-Family (2-4 Unit),"2,531",45.90%,"3,447",55.30%,"2,903",55.30%,"677,500",23.20%
TX,April 2022,Single Family Residential,"2,531",45.90%,"2,875",50.00%,"2,421",50.00%,"565,000",18.90%
TX,April 2022,Townhouse,"2,531",45.90%,"2,162",47.50%,"1,821",47.50%,"425,000",17.00%
